Norway;16;8;13;37;1
Germany;12;10;5;27;3
People's Republic of China;9;4;2;15;11
United States of America;8;10;7;25;5
Sweden;8;5;5;18;6
Netherlands;8;5;4;17;9
Austria;7;7;4;18;6
Switzerland;7;2;5;14;12
ROC;6;12;14;32;2
France;5;7;2;14;12
Canada;4;8;14;26;4
Japan;3;6;9;18;6
Italy;2;7;8;17;9
Republic of Korea;2;5;2;9;14
Slovenia;2;3;2;7;16
Finland;2;2;4;8;15
New Zealand;2;1;0;3;18
Australia;1;2;1;4;17
Great Britain;1;1;0;2;20
Hungary;1;0;2;3;18
Belgium;1;0;1;2;20
Czech Republic;1;0;1;2;20
Slovakia;1;0;1;2;20
Belarus;0;2;0;2;20
Spain;0;1;0;1;25
Ukraine;0;1;0;1;25
Estonia;0;0;1;1;25
Latvia;0;0;1;1;25
Poland;0;0;1;1;25
